11:37:48,015  INFO o.a.c.AtmosphereFramework:588 - Atmosphere is using async support: org.atmosphere.container.JSR356AsyncSupport running under container: Undertow - 2.0.17.Final using javax.servlet/3.0 and jsr356/WebSocket API
11:37:48,016  INFO o.a.c.AtmosphereFramework:588 - Atmosphere Framework 2.4.30.vaadin1 started.
11:37:48,043  INFO o.a.c.AtmosphereFramework:588 - Installed AtmosphereInterceptor  Track Message Size Interceptor using | with priority BEFORE_DEFAULT 
11:37:48,149  INFO o.xnio:104 - XNIO version 3.3.8.Final
11:37:48,203  INFO o.x.nio:55 - XNIO NIO Implementation Version 3.3.8.Final
11:37:48,543  INFO o.s.b.w.e.u.UndertowServletWebServer:148 - Undertow started on port(s) 60000 (http) with context path ''
11:37:48,554  INFO c.a.s.DefaultServerRunner:59 - Started DefaultServerRunner in 45.605 seconds (JVM running for 51.938)
12:10:54,613  INFO o.a.j.c.c.ClusterNode:858 - Processing revision: 353
12:10:55,050  INFO o.a.j.c.c.ClusterNode:858 - Processing revision: 354
12:10:55,076  INFO o.a.j.c.c.ClusterNode:858 - Processing revision: 355
12:10:55,117  INFO o.a.j.c.c.ClusterNode:858 - Processing revision: 356
12:38:03,090  WARN c.z.h.p.HikariPool:766 - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=4m41s353ms).
12:49:04,660 ERROR c.a.s.j.ProjectSendingRelayEmailNotificationJob:64 - Error while sending scheduler command
org.springframework.jdbc.BadSqlGrammarException: 
### Error querying database.  Cause: java.sql.SQLSyntaxErrorException: Unknown column 'm_prj_task.parentTaskId' in 'field list'
### The error may exist in file [/Users/robertnguyen/Workspace/airback-Release_8.0.8/airback-services/target/classes/sqlMap/project/TaskMapperExt.xml]
### The error may involve com.airback.module.project.dao.TaskMapperExt.findTaskById-Inline
### The error occurred while setting parameters
